state,wf_Management,wf_Business and Financial Operations,wf_Computer and Mathematical,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,wf_Transportation and Material Moving,bachelors_plus,broadband,median_hh_income,log_gdp,ms_ai_user_share,openai_rank_2025
GA,11.781981440756045,6.739799130430554,4.13101597776811,1.9929098256559272,0.9032359908830997,1.46799228063534,1.0676596551722848,6.399972767505949,2.0435031611015244,5.7478330902484105,2.260839411703314,1.9537818190931953,5.105755969171919,3.369965027941362,2.3924381947699396,9.712536336488887,10.650299239472751,0.3365719302563857,4.597278920216648,3.2655426280179722,5.3060719109916406,8.77301529171874,35.41558613658026,92.37080791048396,74632,11.702372010109087,33.7,9
HI,9.763788959847867,5.2495002508104545,2.5738393465451797,2.137653761782476,1.125876900731468,2.1858692641146393,1.1913122253251176,6.621845216258507,2.234234504031684,6.221297176697837,3.154970913474137,3.02005734949501,7.9371401618663295,4.932655521199099,3.1834210546018102,9.508186902453449,10.764335502032688,0.5646604325918827,5.3763279852059265,2.7586155262901766,2.8041357520944543,6.690275292549806,36.99971802044498,92.61649166427075,95322,11.8195542619943,30.6,21
ID,11.503515511936078,5.2820793801847525,2.770862104137762,2.48067082568337,0.8922554067751172,2.0167065586219493,0.7662245975825581,6.0992503302968455,1.9433309942869594,5.94876099965929,3.5243768150305623,1.6109514364842104,5.388137510293406,3.31001763363271,2.484302221880444,9.009921188021947,10.366781696481498,1.6064655941231194,6.64075558674284,3.1482068913219243,5.630372997792325,7.576053719030332,32.14258361772653,92.81248806672812,74942,11.526051686209732,28.8,37
IL,11.815794587881747,7.086139801204904,4.0614270839752065,1.9041321635043045,1.0639534975581162,1.7845580672225092,1.3384936002262555,6.5430161807389,1.924356112135475,6.272220668559501,3.398681967347803,2.144496952977739,4.939383453966027,2.734325254813853,2.437538808651426,8.8584212996099,10.20934946825235,0.28130248549168685,3.711931971692792,2.8150630497398534,5.905819599218217,8.76959392523143,38.27775836425594,91.64663888148336,80306,11.835734834592673,33.3,15
IN,10.662576795788889,5.25311242519699,2.7700215220106106,2.3938144147282587,0.9793548120440596,1.7717131697581798,0.7241315174936452,5.924841241958768,1.7761415670031266,6.866879426552079,2.97520392769313,1.73947443781497,4.916288530746362,2.9786285548958884,2.1688518346849786,8.09336832751245,10.438913212270794,0.30620890816389795,4.733218588640275,3.6910986263111747,9.71457503623905,9.12158312249242,30.214670951273792,90.8075158237325,69477,11.69112421239755,26.8,34
IA,11.119399376163647,5.641668883139492,3.000640762144256,2.0939623280218584,0.993362671373649,1.8653432308919895,0.6328432913412482,6.621551369780207,1.5372851028846386,6.241023285054526,2.868740479241725,1.4466112145465095,5.144111033198733,3.120209396232802,2.5510191745049204,8.689460067219576,10.030224629446042,0.9079478685591315,5.343654036801508,3.854607442512755,7.990666634427061,8.305667722513723,31.549672848125365,89.93212153662424,71433,11.747294502190202,24.4,43
KS,11.532133679572116,6.192842007237447,3.1584475562621104,2.377650679178908,1.0552296877421592,1.7911562927003581,0.8766284084994987,7.065545112896447,1.6612152331528371,6.885184215139081,3.14897268733677,1.9909406717546714,4.505503206904743,3.283312793171056,2.3347430584741535,8.789768224402795,10.208359135431747,1.02213532413865,4.919351946036561,3.129887594215728,6.73703787172787,7.333954614024295,35.81915826795321,91.62748035074138,70333,11.746536279190936,28.6,29
KY,10.471603382447297,4.867087314671754,2.2718444925897474,1.9002049532117808,0.8387544752593564,2.1148927232498655,1.0272116868406995,5.9425402113981605,1.5949809960323282,7.8602002345884685,3.050465292703301,1.8686036039924157,5.241747923853696,3.1493933404112684,2.0399893735068484,8.35066851958948,11.19349520513064,0.41537312130218657,4.654173823724893,3.627537578751617,8.401067636478027,9.118164110266171,27.84642492215848,90.05207695498983,61118,11.521436055464946,25.1,40
LA,10.363184895337106,4.591104946505304,1.998819271188001,1.8169338570293987,1.0188340524552808,1.857259832718596,1.339472335346678,6.884072421316341,1.5345535510739068,7.456661885650501,3.474878000383072,2.4787919342140055,5.729489022127094,3.689506728135468,2.5892821533184733,9.77582401133657,10.35525756678282,0.3379700819666077,6.467370672527966,3.483149995396241,5.051382383309477,7.706200401881091,26.99152049393904,88.010458499985,58229,11.637332720599437,26.1,35
ME,12.413710382976321,5.389749668388226,2.948663675105128,1.9907995371546299,1.0528321056642114,1.9764061750345723,1.0910732932576976,6.993762876414642,2.03242739818813,7.066435243981599,3.449326898653797,1.718595659413541,5.207857082380831,3.5104281319673754,2.36333361555612,9.031129173369457,10.112465780487117,1.3013292693252054,5.105974656393757,3.134366268732537,5.559930008748906,6.549403098806198,36.99449714274719,91.81995990812956,73733,11.633331199415847,21.4,45
