geo,indic_is,unit,F,M,M_minus_F_pp
FR,I_IUAIPR,PC_IND,24.74,30.77,6.030000000000001
FR,I_IUAIPR,PC_IND_IU3,25.93,32.55,6.619999999999997
FR,I_IUAIPR,PC_IND_IUAI,70.2,77.39,7.189999999999998
FR,I_IUAIWP,PC_IND,16.92,20.02,3.099999999999998
FR,I_IUAIWP,PC_IND_IU3,17.74,21.17,3.4300000000000033
FR,I_IUAIWP,PC_IND_IUAI,48.02,50.34,2.3200000000000003
HR,I_IUAI,PC_IND,28.19,26.85,-1.3399999999999999
HR,I_IUAI,PC_IND_IU3,33.17,30.92,-2.25
HR,I_IUAIFE,PC_IND,14.25,12.48,-1.7699999999999996
HR,I_IUAIFE,PC_IND_IU3,16.77,14.37,-2.4000000000000004
HR,I_IUAIFE,PC_IND_IUAI,50.55,46.47,-4.079999999999998
HR,I_IUAIPR,PC_IND,25.08,24.37,-0.7099999999999973
HR,I_IUAIPR,PC_IND_IU3,29.51,28.06,-1.4500000000000028
HR,I_IUAIPR,PC_IND_IUAI,88.97,90.75,1.7800000000000011
HR,I_IUAIWP,PC_IND,8.53,9.49,0.9600000000000009
HR,I_IUAIWP,PC_IND_IU3,10.04,10.93,0.8900000000000006
HR,I_IUAIWP,PC_IND_IUAI,30.26,35.36,5.099999999999998
HU,I_IUAI,PC_IND,26.5,32.73,6.229999999999997
HU,I_IUAI,PC_IND_IU3,28.62,35.18,6.559999999999999
HU,I_IUAIFE,PC_IND,8.21,8.36,0.14999999999999858
HU,I_IUAIFE,PC_IND_IU3,8.87,8.98,0.11000000000000121
HU,I_IUAIFE,PC_IND_IUAI,31.0,25.54,-5.460000000000001
HU,I_IUAIPR,PC_IND,17.95,23.75,5.800000000000001
HU,I_IUAIPR,PC_IND_IU3,19.39,25.53,6.140000000000001
HU,I_IUAIPR,PC_IND_IUAI,67.75,72.58,4.829999999999998
HU,I_IUAIWP,PC_IND,12.67,17.11,4.4399999999999995
HU,I_IUAIWP,PC_IND_IU3,13.69,18.4,4.709999999999999
HU,I_IUAIWP,PC_IND_IUAI,47.83,52.29,4.460000000000001
IE,I_IUAI,PC_IND,40.3,49.62,9.32
IE,I_IUAI,PC_IND_IU3,40.37,49.76,9.39
IE,I_IUAIFE,PC_IND,14.53,10.5,-4.029999999999999
IE,I_IUAIFE,PC_IND_IU3,14.56,10.53,-4.030000000000001
IE,I_IUAIFE,PC_IND_IUAI,36.06,21.16,-14.900000000000002
IE,I_IUAIPR,PC_IND,22.94,38.93,15.989999999999998
IE,I_IUAIPR,PC_IND_IU3,22.98,39.04,16.06
IE,I_IUAIPR,PC_IND_IUAI,56.93,78.45,21.520000000000003
IE,I_IUAIWP,PC_IND,17.51,27.44,9.93
IE,I_IUAIWP,PC_IND_IU3,17.54,27.51,9.970000000000002
IE,I_IUAIWP,PC_IND_IUAI,43.46,55.29,11.829999999999998
IT,I_IUAI,PC_IND,18.31,21.43,3.120000000000001
IT,I_IUAI,PC_IND_IU3,20.39,23.58,3.1899999999999977
IT,I_IUAIFE,PC_IND,6.57,6.18,-0.39000000000000057
IT,I_IUAIFE,PC_IND_IU3,7.31,6.8,-0.5099999999999998
IT,I_IUAIFE,PC_IND_IUAI,35.87,28.83,-7.039999999999999
IT,I_IUAIPR,PC_IND,10.67,14.97,4.300000000000001
IT,I_IUAIPR,PC_IND_IU3,11.88,16.48,4.6
IT,I_IUAIPR,PC_IND_IUAI,58.28,69.88,11.599999999999994
IT,I_IUAIWP,PC_IND,6.99,9.03,2.039999999999999
IT,I_IUAIWP,PC_IND_IU3,7.78,9.94,2.1599999999999993
IT,I_IUAIWP,PC_IND_IUAI,38.16,42.13,3.970000000000006
LT,I_IUAI,PC_IND,37.55,36.2,-1.3499999999999943
LT,I_IUAI,PC_IND_IU3,41.09,41.55,0.45999999999999375
LT,I_IUAIFE,PC_IND,10.29,7.62,-2.669999999999999
LT,I_IUAIFE,PC_IND_IU3,11.26,8.75,-2.51
LT,I_IUAIFE,PC_IND_IUAI,27.39,21.06,-6.330000000000002
LT,I_IUAIPR,PC_IND,32.45,32.24,-0.21000000000000085
LT,I_IUAIPR,PC_IND_IU3,35.51,37.01,1.5
LT,I_IUAIPR,PC_IND_IUAI,86.41,89.06,2.6500000000000057
LT,I_IUAIWP,PC_IND,19.24,18.43,-0.8099999999999987
LT,I_IUAIWP,PC_IND_IU3,21.05,21.15,0.09999999999999787
LT,I_IUAIWP,PC_IND_IUAI,51.23,50.9,-0.3299999999999983
LU,I_IUAI,PC_IND,39.44,45.54,6.100000000000001
LU,I_IUAI,PC_IND_IU3,39.95,45.76,5.809999999999995
LU,I_IUAIFE,PC_IND,12.22,12.16,-0.0600000000000005
LU,I_IUAIFE,PC_IND_IU3,12.38,12.21,-0.16999999999999993
LU,I_IUAIFE,PC_IND_IUAI,30.99,26.69,-4.299999999999997
LU,I_IUAIPR,PC_IND,30.95,40.33,9.379999999999999
LU,I_IUAIPR,PC_IND_IU3,31.35,40.52,9.170000000000002
LU,I_IUAIPR,PC_IND_IUAI,78.46,88.56,10.100000000000009
LU,I_IUAIWP,PC_IND,22.97,26.71,3.740000000000002
LU,I_IUAIWP,PC_IND_IU3,23.26,26.84,3.5799999999999983
LU,I_IUAIWP,PC_IND_IUAI,58.22,58.65,0.4299999999999997
LV,I_IUAI,PC_IND,32.25,34.67,2.4200000000000017
LV,I_IUAI,PC_IND_IU3,33.64,37.26,3.6199999999999974
LV,I_IUAIFE,PC_IND,8.04,7.57,-0.46999999999999886
LV,I_IUAIFE,PC_IND_IU3,8.38,8.13,-0.25
LV,I_IUAIFE,PC_IND_IUAI,24.92,21.82,-3.1000000000000014
LV,I_IUAIPR,PC_IND,24.66,28.73,4.07
LV,I_IUAIPR,PC_IND_IU3,25.73,30.87,5.140000000000001
LV,I_IUAIPR,PC_IND_IUAI,76.48,82.86,6.3799999999999955
LV,I_IUAIWP,PC_IND,13.58,15.94,2.3599999999999994
LV,I_IUAIWP,PC_IND_IU3,14.17,17.13,2.959999999999999
LV,I_IUAIWP,PC_IND_IUAI,42.11,45.97,3.8599999999999994
MK,I_IUAI,PC_IND,24.21,20.42,-3.789999999999999
MK,I_IUAI,PC_IND_IU3,25.96,22.36,-3.6000000000000014
MK,I_IUAIFE,PC_IND,5.46,3.29,-2.17
MK,I_IUAIFE,PC_IND_IU3,5.85,3.6,-2.2499999999999996
MK,I_IUAIFE,PC_IND_IUAI,22.55,16.12,-6.43
MK,I_IUAIPR,PC_IND,15.46,15.98,0.5199999999999996
MK,I_IUAIPR,PC_IND_IU3,16.58,17.5,0.9200000000000017
MK,I_IUAIPR,PC_IND_IUAI,63.88,78.28,14.399999999999999
MK,I_IUAIWP,PC_IND,9.95,7.52,-2.4299999999999997
MK,I_IUAIWP,PC_IND_IU3,10.67,8.24,-2.4299999999999997
MK,I_IUAIWP,PC_IND_IUAI,41.08,36.85,-4.229999999999997
MT,I_IUAI,PC_IND,47.39,45.68,-1.7100000000000009
MT,I_IUAI,PC_IND_IU3,49.39,47.55,-1.8400000000000034
MT,I_IUAIFE,PC_IND,21.55,19.09,-2.460000000000001
MT,I_IUAIFE,PC_IND_IU3,22.46,19.87,-2.59
MT,I_IUAIFE,PC_IND_IUAI,45.48,41.78,-3.6999999999999957
MT,I_IUAIPR,PC_IND,36.98,37.39,0.4100000000000037
MT,I_IUAIPR,PC_IND_IU3,38.54,38.92,0.38000000000000256
MT,I_IUAIPR,PC_IND_IUAI,78.04,81.85,3.809999999999988
MT,I_IUAIWP,PC_IND,30.07,29.06,-1.0100000000000016
MT,I_IUAIWP,PC_IND_IU3,31.34,30.25,-1.0899999999999999
MT,I_IUAIWP,PC_IND_IUAI,63.45,63.6,0.14999999999999858
NL,I_IUAI,PC_IND,41.93,47.46,5.530000000000001
NL,I_IUAI,PC_IND_IU3,42.06,47.6,5.539999999999999
NL,I_IUAIFE,PC_IND,13.23,12.98,-0.25
NL,I_IUAIFE,PC_IND_IU3,13.27,13.02,-0.25
NL,I_IUAIFE,PC_IND_IUAI,31.54,27.35,-4.189999999999998
NL,I_IUAIPR,PC_IND,24.19,31.96,7.77
NL,I_IUAIPR,PC_IND_IU3,24.26,32.05,7.789999999999996
NL,I_IUAIPR,PC_IND_IUAI,57.69,67.33,9.64
NL,I_IUAIWP,PC_IND,24.26,28.86,4.599999999999998
NL,I_IUAIWP,PC_IND_IU3,24.33,28.94,4.610000000000003
NL,I_IUAIWP,PC_IND_IUAI,57.85,60.8,2.9499999999999957
NO,I_IUAI,PC_IND,52.67,59.85,7.18
NO,I_IUAI,PC_IND_IU3,53.13,60.76,7.6299999999999955
NO,I_IUAIFE,PC_IND,14.34,14.13,-0.20999999999999908
NO,I_IUAIFE,PC_IND_IU3,14.46,14.34,-0.120000000000001
NO,I_IUAIFE,PC_IND_IUAI,27.22,23.61,-3.6099999999999994
NO,I_IUAIPR,PC_IND,41.7,52.65,10.949999999999996
NO,I_IUAIPR,PC_IND_IU3,42.07,53.45,11.380000000000003
NO,I_IUAIPR,PC_IND_IUAI,79.18,87.96,8.779999999999987
NO,I_IUAIWP,PC_IND,31.81,38.95,7.140000000000004
NO,I_IUAIWP,PC_IND_IU3,32.09,39.54,7.449999999999996
NO,I_IUAIWP,PC_IND_IUAI,60.39,65.07,4.679999999999993
PL,I_IUAI,PC_IND,19.1,26.39,7.289999999999999
PL,I_IUAI,PC_IND_IU3,21.26,29.5,8.239999999999998
PL,I_IUAIFE,PC_IND,3.96,5.25,1.29
PL,I_IUAIFE,PC_IND_IU3,4.41,5.87,1.46
PL,I_IUAIFE,PC_IND_IUAI,20.72,19.89,-0.8299999999999983
PL,I_IUAIPR,PC_IND,15.27,23.13,7.859999999999999
PL,I_IUAIPR,PC_IND_IU3,17.0,25.85,8.850000000000001
PL,I_IUAIPR,PC_IND_IUAI,79.96,87.63,7.670000000000002
PL,I_IUAIWP,PC_IND,6.96,9.82,2.8600000000000003
PL,I_IUAIWP,PC_IND_IU3,7.75,10.97,3.2200000000000006
PL,I_IUAIWP,PC_IND_IUAI,36.44,37.19,0.75
PT,I_IUAI,PC_IND,37.66,39.81,2.1500000000000057
PT,I_IUAI,PC_IND_IU3,42.18,44.4,2.219999999999999
PT,I_IUAIFE,PC_IND,14.46,14.45,-0.010000000000001563
PT,I_IUAIFE,PC_IND_IU3,16.2,16.12,-0.0799999999999983
PT,I_IUAIFE,PC_IND_IUAI,38.41,36.3,-2.1099999999999994
PT,I_IUAIPR,PC_IND,31.38,35.11,3.7300000000000004
PT,I_IUAIPR,PC_IND_IU3,35.15,39.16,4.009999999999998
PT,I_IUAIPR,PC_IND_IUAI,83.33,88.19,4.859999999999999
PT,I_IUAIWP,PC_IND,20.04,19.82,-0.21999999999999886
PT,I_IUAIWP,PC_IND_IU3,22.45,22.11,-0.33999999999999986
PT,I_IUAIWP,PC_IND_IUAI,53.22,49.79,-3.4299999999999997
RO,I_IUAI,PC_IND,16.0,19.57,3.5700000000000003
RO,I_IUAI,PC_IND_IU3,17.18,21.0,3.8200000000000003
RO,I_IUAIFE,PC_IND,3.13,3.61,0.48
RO,I_IUAIFE,PC_IND_IU3,3.36,3.88,0.52
RO,I_IUAIFE,PC_IND_IUAI,19.54,18.47,-1.0700000000000003
RO,I_IUAIPR,PC_IND,13.11,16.63,3.5199999999999996
RO,I_IUAIPR,PC_IND_IU3,14.08,17.85,3.7700000000000014
RO,I_IUAIPR,PC_IND_IUAI,81.94,84.97,3.030000000000001
RO,I_IUAIWP,PC_IND,4.68,5.81,1.13
RO,I_IUAIWP,PC_IND_IU3,5.02,6.24,1.2200000000000006
RO,I_IUAIWP,PC_IND_IUAI,29.24,29.7,0.46000000000000085
RS,I_IUAI,PC_IND,14.9,22.54,7.639999999999999
RS,I_IUAI,PC_IND_IU3,16.79,24.65,7.859999999999999
RS,I_IUAIFE,PC_IND,4.55,6.13,1.58
RS,I_IUAIFE,PC_IND_IU3,5.13,6.7,1.5700000000000003
RS,I_IUAIFE,PC_IND_IUAI,30.57,27.19,-3.379999999999999
RS,I_IUAIPR,PC_IND,10.12,15.31,5.190000000000001
RS,I_IUAIPR,PC_IND_IU3,11.4,16.75,5.35
RS,I_IUAIPR,PC_IND_IUAI,67.92,67.95,0.030000000000001137
RS,I_IUAIWP,PC_IND,5.42,6.28,0.8600000000000003
RS,I_IUAIWP,PC_IND_IU3,6.11,6.87,0.7599999999999998
RS,I_IUAIWP,PC_IND_IUAI,36.39,27.86,-8.530000000000001
SE,I_IUAI,PC_IND,38.54,45.36,6.82
SE,I_IUAI,PC_IND_IU3,39.11,46.3,7.189999999999998
SE,I_IUAIFE,PC_IND,11.85,10.16,-1.6899999999999995
