geo,ind,unit,grp,value,flag,usable
EA,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,76.65,,True
EE,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
EL,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
ES,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,76.47,,True
EU27_2020,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,77.14,,True
FI,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,56.69,u,False
FR,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
HR,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
HU,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,65.73,,True
IT,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,68.97,,True
LT,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
LU,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,82.6,,True
LV,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
MT,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,81.13,,True
NL,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,66.17,,True
PL,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
PT,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,78.93,,True
RO,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
SE,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,82.94,,True
SI,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,90.0,u,False
AT,I_IUAIWP,PC_IND,CB_EU_FOR,23.62,,True
BE,I_IUAIWP,PC_IND,CB_EU_FOR,25.06,,True
BG,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
CY,I_IUAIWP,PC_IND,CB_EU_FOR,13.35,u,False
CZ,I_IUAIWP,PC_IND,CB_EU_FOR,16.95,u,False
DE,I_IUAIWP,PC_IND,CB_EU_FOR,8.99,,True
DK,I_IUAIWP,PC_IND,CB_EU_FOR,27.93,,True
EA,I_IUAIWP,PC_IND,CB_EU_FOR,15.9,,True
EE,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
EL,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
ES,I_IUAIWP,PC_IND,CB_EU_FOR,19.91,,True
EU27_2020,I_IUAIWP,PC_IND,CB_EU_FOR,16.36,,True
FI,I_IUAIWP,PC_IND,CB_EU_FOR,22.69,u,False
FR,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
HR,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
HU,I_IUAIWP,PC_IND,CB_EU_FOR,21.88,,True
IT,I_IUAIWP,PC_IND,CB_EU_FOR,5.0,,True
LT,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
LU,I_IUAIWP,PC_IND,CB_EU_FOR,25.6,,True
LV,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
MT,I_IUAIWP,PC_IND,CB_EU_FOR,47.56,,True
NL,I_IUAIWP,PC_IND,CB_EU_FOR,25.99,,True
PL,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
PT,I_IUAIWP,PC_IND,CB_EU_FOR,33.14,,True
RO,I_IUAIWP,PC_IND,CB_EU_FOR,,u,False
SE,I_IUAIWP,PC_IND,CB_EU_FOR,16.97,,True
SI,I_IUAIWP,PC_IND,CB_EU_FOR,10.13,u,False
AT,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,24.37,,True
BE,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,26.11,,True
BG,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
CY,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,13.64,u,False
CZ,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,19.02,u,False
DE,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,9.89,,True
DK,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,27.93,,True
EA,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,16.91,,True
EE,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
EL,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
ES,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,20.41,,True
EU27_2020,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,17.34,,True
FI,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,22.69,u,False
FR,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
HR,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
HU,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,22.23,,True
IT,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,5.56,,True
LT,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
LU,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,25.66,,True
LV,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
MT,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,47.85,,True
NL,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,26.12,,True
PL,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
PT,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,33.53,,True
RO,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,,u,False
SE,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,17.4,,True
SI,I_IUAIWP,PC_IND_IU3,CB_EU_FOR,12.43,u,False
AT,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,54.93,,True
BE,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,56.85,,True
BG,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
CY,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,45.99,u,False
CZ,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,61.14,u,False
DE,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,38.12,,True
DK,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,57.32,,True
EA,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,50.38,,True
EE,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
EL,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
ES,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,55.73,,True
EU27_2020,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,50.03,,True
FI,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,58.11,u,False
FR,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
HR,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
HU,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,56.04,,True
IT,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,36.08,,True
LT,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
LU,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,62.66,,True
LV,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
MT,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,74.7,,True
NL,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,54.34,,True
PL,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
PT,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,60.6,,True
RO,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,,u,False
SE,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,37.52,,True
SI,I_IUAIWP,PC_IND_IUAI,CB_EU_FOR,30.25,u,False
AT,I_IUAI,PC_IND,CB_EXT_EU,41.71,,True
BE,I_IUAI,PC_IND,CB_EXT_EU,40.5,,True
BG,I_IUAI,PC_IND,CB_EXT_EU,28.87,u,False
CY,I_IUAI,PC_IND,CB_EXT_EU,36.82,,True
CZ,I_IUAI,PC_IND,CB_EXT_EU,31.39,,True
DE,I_IUAI,PC_IND,CB_EXT_EU,31.26,,True
DK,I_IUAI,PC_IND,CB_EXT_EU,56.54,,True
EA,I_IUAI,PC_IND,CB_EXT_EU,33.07,,True
EE,I_IUAI,PC_IND,CB_EXT_EU,33.22,,True
EL,I_IUAI,PC_IND,CB_EXT_EU,26.46,,True
ES,I_IUAI,PC_IND,CB_EXT_EU,34.02,,True
EU27_2020,I_IUAI,PC_IND,CB_EXT_EU,33.87,,True
FI,I_IUAI,PC_IND,CB_EXT_EU,68.29,,True
FR,I_IUAI,PC_IND,CB_EXT_EU,33.5,,True
HR,I_IUAI,PC_IND,CB_EXT_EU,22.34,,True
HU,I_IUAI,PC_IND,CB_EXT_EU,41.49,,True
IT,I_IUAI,PC_IND,CB_EXT_EU,13.33,,True
LT,I_IUAI,PC_IND,CB_EXT_EU,34.9,,True
LU,I_IUAI,PC_IND,CB_EXT_EU,51.63,,True
LV,I_IUAI,PC_IND,CB_EXT_EU,17.82,,True
MT,I_IUAI,PC_IND,CB_EXT_EU,46.72,,True
NL,I_IUAI,PC_IND,CB_EXT_EU,54.09,,True
PL,I_IUAI,PC_IND,CB_EXT_EU,31.63,,True
PT,I_IUAI,PC_IND,CB_EXT_EU,46.05,,True
