geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary,test_scores,learning_adj_years,expected_years,secondary_enrol,primary_enrol,edu_spend,globe_future,globe_performance,globe_uai,globe_inst_collectivism,hof_longterm,hof_indulgence
COL,51.95071868583162,0.8236025489336274,53.56866755876339,1.596204654637056,-0.8802929743444536,2025-08,11313.865939573909,27.239557121288374,23.210044112656934,spanish,0.0216503267973856,67.0,13.0,80.0,,,,5.563888888888888,5.458333333333333,67.0,9.333784326758648,11.976360321044922,3.4275341033935547,3.4594502449035645,40.49315688270558,36.296799004637485,89.33823529411765,79.34543299,59.2901382446289,419.027526855469,8.62216186523438,12.8603744506836,101.573776245117,104.830467224121,5.26166009902954,3.268402777777779,3.942129629629628,3.5711805555555554,3.8090277777777777,13.0,83.0
CRI,52.985702270815814,1.3119790443472863,61.19935306568539,-0.4984786324510111,0.1637118537978459,2025-08,26951.561234857145,18.414533443435175,29.54333643988816,english,,35.0,15.0,86.0,,,,4.7368421052631575,5.526086956521739,35.0,10.201796505451693,11.899347305297852,4.231938362121582,3.4054055213928223,38.769804287045666,31.68685927306617,92.30769230769232,87.17019653,55.0202903747559,428.555694580078,8.99331092834473,13.1157264709473,121.810760498047,104.774353027344,5.31208992004395,3.6035087719298238,4.116959064327485,3.824561403508772,3.9298245614035086,,
CYP,46.77137870855148,2.39017701570814,67.69651564846792,-9.377563372378404,1.7150006909876776,2025-08,38404.71104586875,14.991482112436117,37.842778793418645,english,,,,,,,,,,,10.55593541453698,11.850090980529783,2.676892042160034,3.2760512828826904,54.47897623400365,7.678244972577697,94.77124183006536,89.60099246,120.87727355957,502.162170410156,10.9170904159546,13.5876054763794,106.741279602051,105.259872436523,4.74210977554321,,,,,,70.0
CZE,46.748101683724,1.711132868072996,58.43525303137335,-5.602404885745038,0.3615977452825005,2025-08,49714.93948841886,25.79916047788182,43.21329639889196,english,,57.0,58.0,74.0,,,,3.588749999999999,5.738729508196721,57.0,10.814060760243944,11.81613540649414,2.4813053607940674,3.3829638957977295,43.594182825484765,13.192520775623269,88.08030112923463,87.68776014,66.7282867431641,512.221618652344,11.1165237426758,13.5641040802002,97.6154174804688,99.699089050293,4.30291986465454,3.630416666666667,4.1125,4.439583333333333,3.604861111111111,70.0,29.0
DEU,45.998294554756974,1.8350611876849208,51.233085092986805,-3.398298321974714,-0.0388997629040479,2025-08,88693.9787891109,32.797555264515616,44.73476787262552,english,0.0198517401683628,35.0,67.0,65.0,,,,5.251794871794871,5.719660194174757,35.0,11.392947283119916,11.778071403503418,2.531214475631714,3.3581671714782715,41.48734925514306,13.777882872231414,88.28998617916824,93.49999579,76.7096862792969,517.281433105469,11.0330896377563,13.3306179046631,100.243698120117,102.638023376465,5.23916006088257,4.266410256410255,4.246153846153846,5.216239316239316,3.7914529914529917,83.0,40.0
DNK,44.11504424778761,2.3071425941225168,59.49185017570635,-8.668817500157267,1.0345435879022868,2025-08,113263.93711245504,22.085889570552148,42.671009771986974,english,0.020631067961165,18.0,74.0,23.0,,,,3.894267515923566,5.701388888888889,18.0,11.637476100784044,11.91166877746582,2.2173733711242676,3.3296141624450684,44.253140995812,13.075849232201024,91.38349514563107,99.76915157,78.9604110717773,517.877807617188,11.0988283157349,13.3946027755737,125.628089904785,99.7760925292969,6.35586023330688,4.443949044585986,4.223991507430997,5.218152866242038,4.796709129511677,35.0,70.0
DOM,55.99639314697926,0.5788662042274328,62.88241240350119,1.8219184229913807,-0.4468490277980117,2025-08,16637.61618246597,20.33598585322723,28.561872909699005,english,,,,,,,,,,,9.719421445847487,10.751839637756348,3.3707492351531982,3.493645429611206,33.7123745819398,37.7257525083612,91.5057915057915,91.0022446,57.6509476207267,345.216522216797,6.55853319168091,11.8739490509033,76.3648403372637,101.939084340722,3.7606477375256,,,,,13.0,54.0
DZA,54.74683544303798,0.2541380965072279,63.23185256775279,0.4290405278513347,-0.7461326514446154,2025-08,8969.58842511948,34.47395301327886,29.59409594095941,english,0.042152466367713,,,,,,,,,,9.101595070512923,11.789299011230469,3.5679261684417725,3.6328413486480713,29.81549815498155,40.59040590405904,88.78923766816143,77.4178009,54.4283410150344,374.089080810547,7.091552734375,11.8480348587036,105.164131811213,106.368889468205,8.97772026062012,,,,,26.0,32.0
ECU,56.32911392405063,0.956858634417044,55.39768734951225,5.224441516878095,-0.6138568205775772,2025-08,9988.291688510177,16.469428007889547,19.061413673232902,spanish,,78.0,8.0,67.0,,,,5.599999999999999,5.510204081632653,78.0,9.209168854868931,11.76071834564209,3.139153480529785,3.3742756843566895,26.535341830822713,54.40324449594438,90.25974025974024,77.17273115,67.8851161961618,420.148559570313,8.69649028778076,12.9366292953491,92.8118025876465,97.2490097236115,3.69074988365173,3.736363636363637,4.196969696969697,3.6818181818181817,3.897727272727273,,
EGY,59.126454320045774,0.2811923790687435,60.84668295753119,5.786918344585125,-0.8927544839058273,2025-08,5227.316547705825,47.30105731775181,29.20531005637389,english,0.0292365998917162,,,,80.0,38.0,68.0,4.918303571428571,4.631426202321724,80.0,8.56165333699131,11.921286582946776,3.469752550125122,3.5489912033081055,45.60829241680305,25.18639752682306,98.9713048186248,74.64839935,37.5781274463676,355.986511230469,6.52936267852783,11.4635009765625,84.8286031306453,96.7073863024522,,3.864732142857144,4.270833333333333,4.061755952380952,4.495535714285714,7.0,4.0
