geo_id,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary
MRT,11.439393997192385,3.8503031730651855,3.651515245437622,43.93939393939394,25.75757575757576,89.74358974358975,45.77939987,5.97194330025359
MLT,12.047794342041016,2.480146884918213,3.2683823108673096,52.57352941176471,11.029411764705882,95.0,93.86029816,80.5250091552734
MUS,11.68874168395996,3.3094370365142822,3.529801368713379,52.64900662251656,14.56953642384106,93.25842696629212,73.30793533,45.7771156388358
MDV,11.15217399597168,3.407011032104492,3.45108699798584,50.0,17.934782608695652,100.0,85.23999786,48.4968654322788
MWI,12.854838371276855,3.4715590476989746,3.5376343727111816,42.7027027027027,36.75675675675676,100.0,18.96159935,2.70813684546823
MEX,11.428902626037598,3.341367721557617,3.4646689891815186,34.51609784395243,32.63076476844242,89.70873786407768,83.12233799,48.203441619873
MYS,12.111785888671877,3.2763922214508057,3.4743590354919434,43.4098065677013,25.663517768780924,98.9413680781759,98.0206059,38.5013945445142
MOZ,10.377049446105955,4.287704944610596,3.5601093769073486,32.51366120218579,35.24590163934426,75.0,20.52729988,7.4630510423433
NAM,11.17391300201416,3.721521854400635,3.6847825050354,39.130434782608695,26.08695652173913,100.0,64.87460327,26.1092654658031
NCL,11.897958755493164,1.9724488258361816,3.2857143878936768,53.333333333333336,,55.55555555555556,,
NER,11.476190567016602,5.370317459106445,3.3968253135681152,49.2063492063492,23.809523809523807,51.61290322580645,15.55760002,4.15170730347346
NGA,11.562851905822754,4.166932106018066,3.545943021774292,47.404299947561626,17.357105401153646,99.82718894009216,41.21139908,
NLD,12.123106956481934,2.50061559677124,3.317293643951416,48.014660965180205,10.519242516799023,88.3693972179289,97.00679779,86.5938262939453
NOR,12.116681098937988,2.339810371398926,3.3192923069000244,39.713322091062395,16.441821247892076,88.43995510662177,99.0,95.4987564086914
NPL,12.28033447265625,3.498774528503418,3.570233106613159,50.77751196172249,21.05263157894737,99.3127147766323,46.32189941,21.2915596292014
NZL,11.959641456604004,2.74758243560791,3.2925145626068115,46.68508287292818,9.599447513812152,99.59239130434784,93.51930237,77.2406463623047
