iso3,HD.HCI.HLOS,HD.HCI.LAYS,HD.HCI.EYRS,SE.SEC.ENRR,SE.PRM.ENRR,SE.XPD.TOTL.GD.ZS
PER,415.025421142578,8.63224697113037,12.9995756149292,108.289047241211,112.787780761719,4.35778999328613
PHL,361.64599609375,7.49233388900757,12.9483213424683,85.2945085684493,94.0330906383194,3.92501087473821
PLW,463.211456298828,8.69223594665527,11.7282238006592,95.7270847691247,106.937269372694,3.43726476321334
PNG,363.320617675781,5.99894571304321,10.3196477890015,52.0929750873194,121.090488343548,0.782122804685732
POL,530.085815429688,11.3741827011108,13.4107799530029,107.881309509277,105.358512878418,4.31372976303101
PRE,,,,44.7690887451172,98.3118515014648,3.24413772101569
PRI,,,,81.4824139700154,87.9278775085621,4.27101949674789
PRK,,,,94.2515411376953,92.0648422241211,
PRT,508.514892578125,11.3100528717041,13.9008378982544,120.347076416016,110.98851776123,4.55160999298096
PRY,385.544281005859,6.97648620605469,11.309476852417,79.1305613911018,89.4386417386793,3.53410005569458
PSE,412.317749023438,8.04729080200195,12.1982545852661,89.1210984011759,91.4422361153306,5.43442010879517
PSS,,,,83.7621612548828,97.7588119506836,
PST,,,,103.438346862793,99.3445510864258,4.96171021461486
QAT,427.477844238281,8.77822017669678,12.8343200683594,99.578857421875,97.5567016601562,3.23368000984192
ROU,442.161743164063,8.36918926239014,11.8299312591553,81.6316070556641,84.946662902832,3.2788200378418
RUS,497.546234130859,10.8980865478516,13.6897916793823,92.4840470838527,97.7462041476013,4.16454853394225
RWA,358.083984375,3.92577123641968,6.85204315185547,48.790277194547,149.572183149389,4.61476993560791
SAS,,,,76.874153137207,119.026802062988,2.86143825839217
SAU,398.968933105469,7.88817739486694,12.3571290969849,110.66346516974,103.984471859469,4.48087978363037
SDN,379.633666992188,4.30143785476685,7.0815601348877,43.5378608703613,72.3981094360352,
SEN,412.453857421875,4.83831882476807,7.33160591125488,44.0673682244069,85.3279669566335,6.16277045366329
SGP,575.272155761719,12.813289642334,13.9209003448486,103.082801906213,100.245139192048,2.19099857819757
SLB,350.518615722656,4.67510604858398,8.33605194091797,49.0498504638672,81.8445759596103,8.29349080062944
SLE,315.875946044922,4.85470771789551,9.60564613342285,86.9079513549805,162.123997594776,2.62455277942046
SLV,435.922760009766,7.63728857040405,10.9498882293701,62.1425847697468,89.8804082588561,3.31666994094849
SMR,,,,60.3746397694525,93.5309973045822,2.89753007888794
SOM,,,,3.34785008430481,20.9155502319336,8.14262404011e-06
SRB,457.453491210938,9.75260734558105,13.3245878219604,89.8402786254883,95.9914169311523,3.40377998352051
