geo_id,automation_pct,expected_automation_pct,auto_resid,aui,log_gdp,coding_share,directive,bachelors_plus,broadband,median_hh_income,directive_resid,z_bachelors_plus,z_log_gdp,z_broadband,z_coding_share
OH,47.80990552533639,55.91328551049994,-0.3477832423956002,0.5011465126496323,11.725222893266267,17.279821627647713,37.38906384196966,32.03405927936597,91.1706789221503,67769,-1.4490265682425019,-0.5910153308650801,-0.1454902992370218,-0.3603276515188051,0.5395916563458439
OK,49.59443800695249,68.64054472494264,0.8879188211482116,0.3582911393837469,11.53708941352069,11.61217587373168,39.39745075318656,28.714199449341216,90.17579077531063,62138,0.2522661369334145,-1.0523937009228777,-0.9798447506719394,-0.9267390992245776,-0.34123870713242604
OR,45.3184957789716,55.79814578252241,-2.834227883235471,1.0193010648621166,11.697921784891763,15.508221225710017,35.149654643131235,37.651929491014286,93.3018464084929,80160,-3.6856575771539895,0.18972962047439526,-0.2665681708214903,0.8529923232716051,0.26426050585909655
PA,46.32538297459764,50.92441355025792,-1.6171734824368826,0.6671707647604618,11.72737580961952,19.55656623081296,37.32790382005041,35.3433745436433,91.02178370533538,73824,-1.389810816567696,-0.13110239453237948,-0.13594231583006386,-0.4450969349608716,0.8934291866762454
RI,47.38878143133462,65.97980319962105,-1.2030000989289036,0.7639645348007197,11.644951188035462,3.795066413662239,37.33075435203095,39.04662851417623,92.85958826974188,84972,-1.750229614857588,0.38355827438562407,-0.5014878318089366,0.601205151592697,-1.5561253930733834
SC,51.4792899408284,59.807409284301535,3.1536770707590094,0.4216480893338432,11.533814458056227,14.213197969543147,41.86390532544378,32.916376755022306,90.82628586700022,67804,2.9318541630860295,-0.46839503373380154,-0.9943688729797849,-0.5563981038274561,0.06299602057362894
TN,46.99828473413379,54.371964726623354,-1.092938527086119,0.5372917845688571,11.683678753438203,12.247474747474747,37.77873070325901,31.683342568999347,91.03538456320136,67631,-1.0221693995661596,-0.6397562755030284,-0.3297346880797503,-0.4373536709382957,-0.24250449504978214
TX,47.53808787811879,49.33930620662084,-0.3361148892925456,0.7092668371335306,11.790278360260846,24.120855461461176,37.712519319938174,34.241614359098385,92.48309488488448,75780,-0.966948489693678,-0.28421979832834665,0.14302463468387958,0.3868592838224069,1.6027827201559917
UT,73.39932339305851,58.33981918012179,25.13699658300129,3.782670557286112,11.777080641571123,12.661870503597122,67.66069414860293,38.38698832001051,94.14769384142221,93421,28.76405425667214,0.29188460947474176,0.08449398212566654,1.3345516528762291,-0.17810167590094597
VA,50.28543665735455,52.10617681138198,2.2919196899904293,1.569808047970331,11.820455572085569,20.91232227488152,41.297218510870884,42.42534666348867,92.13470598089147,89931,2.5509892785893697,0.8531164944394054,0.27685775706009064,0.18851390791040512,1.1041323853120546
VT,43.60189573459716,72.00415009510634,-5.249670307755949,1.0998703556170335,11.622341208136167,3.488372093023255,36.018957345971565,43.67210957973921,92.02645093915855,81211,-3.20738722021121,1.0263856900077892,-0.6017609857491215,0.1268819595309136,-1.6037899228719334
WA,44.169416941694166,49.43739804217266,-3.7090157845958487,1.5094838436735678,12.015073495187858,22.268344938403857,35.16226622662266,40.45106716381214,94.14761395753023,94605,-3.5195684267931,0.578740495380286,1.139970110528536,1.3345061732400998,1.31487702029032
WI,46.37002341920375,61.4697029393373,-2.027271602244859,0.4844873987423783,11.688743077810114,11.142857142857144,36.70960187353629,33.75427820114396,91.60538064121619,74631,-2.2625585332077804,-0.3519474656815689,-0.30727488140988485,-0.1128425138192252,-0.4141773144929421
WV,50.44642857142857,65.97980319962105,1.8546470411650446,0.2343635744496908,11.491444141360278,6.097560975609757,41.07142857142857,23.98939342560746,86.82797144870395,55948,1.9904446045400306,-1.7090248280428713,-1.1822772792442142,-2.832725412825961,-1.1982859637996568
